Rank,Artist,Album,Year,Spotify,Description,wiki,Duration,Minutes,Seconds,Total Seconds,Label,Sub Metal Genre,Rating,Tracks,Rolling Stone Rating,avg. BPM,max BPM,min BPM,avg. ENERGY,max ENERGY,min ENERGY,avg. VALENCE,max VALENCE,min VALENCE,avg. POP.,max POP,min POP,Max BPM Track,Min BPM Track,Max Energy Track,Min Energy Track,Max Valence Track,Min Valence Track,Max Pop Track,Min Pop Track
1,Black Sabbath,Paranoid,1970,https://open.spotify.com/album/6r7LZXAVueS5DqdrvXJJK7,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/black-sabbath-paranoid-1970-w486954,https://en.wikipedia.org/wiki/Paranoid_(album),41:47:00,41,47,2507,Warner Bros,Heavy Metal,5,8,Rolling Stone,137,183,90,56,79,6,40,63,23,52,66,40,War Pigs/Luke's Wall,Planet Caravan,Iron Man,Planet Caravan,Jack The Stripper/Fairies Wear Boots,Hand Of Doom,Paranoid,Rat Salad
2,Metallica,Master of Puppets,1986,https://open.spotify.com/album/41bTjcSaiEe4G40RVVHbux,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/metallica-master-of-puppets-1986-w487055,https://en.wikipedia.org/wiki/Master_of_Puppets,54:50:00,54,50,3290,Elektra,Thrash Metal,5,8,Rolling Stone,109,139,90,85,94,69,42,59,16,52,66,46,Leper Messiah,Disposable Heroes,Battery,Orion (Instrumental),Master Of Puppets,"Damage, Inc.",Master Of Puppets,Leper Messiah
3,Judas Priest,British Steel,1980,https://open.spotify.com/album/5bqtZRbUZUxUps8mrO9tGY,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/judas-priest-british-steel-1980-w487008,https://en.wikipedia.org/wiki/British_Steel_(album),35:59:00,35,59,2159,Columbia,New Wave of British Heavy Metal,4.5,9,AllMusic,128,164,85,87,99,64,54,82,25,44,65,34,Breaking the Law,United,Rapid Fire,United,Living After Midnight,Rapid Fire,Breaking the Law,The Rage
4,Iron Maiden,Number of the Beast,1982,https://open.spotify.com/album/7mDQhUhl2eIpiJexZSSe1A,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/iron-maiden-the-number-of-the-beast-1982-w487005,https://en.wikipedia.org/wiki/The_Number_of_the_Beast_(album),37:40:00,37,40,2260,Harvest,New Wave of British Heavy Metal,2.5,8,Rolling Stone,126,173,100,91,96,83,51,65,36,42,57,33,Run to the Hills,The Number Of The Beast,Invaders,Children Of The Damned,Invaders,The Number Of The Beast,The Number Of The Beast,Total Eclipse
5,Black Sabbath,Black Sabbath,1970,https://open.spotify.com/album/4ZLy3U2q17Yjw7jkjXPJQj,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/black-sabbath-1970-w486951,https://en.wikipedia.org/wiki/Black_Sabbath_(album),39:23:00,39,23,2363,Vertigo,Heavy Metal,5,7,Rolling Stone,128,169,101,54,68,43,38,59,13,42,46,37,Wicked World,The Wizard,The Wizard,Black Sabbath,Wicked World,Black Sabbath,The Wizard,A Bit of Finger / Sleeping Village / Warning
6,Slayer,Reign in Blood,1986,https://open.spotify.com/album/2DumvqHl78bNXuvU9kQfPN,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/slayer-reign-in-blood-1986-w487119,https://en.wikipedia.org/wiki/Reign_in_Blood,28:59:00,28,59,1739,Def Jam,Speed Metal,4.5,10,Rolling Stone,113,138,98,100,100,99,9,19,4,42,59,34,Postmortem,Epidemic,Piece By Piece,Angel Of Death,Postmortem,Altar Of Sacrifice,Raining Blood,Reborn
7,Motorhead,No Remorse,1984,https://open.spotify.com/album/7J23uT5PzXYpSawvwQNCbp,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/motrhead-no-remorse-1984-w487065,https://en.wikipedia.org/wiki/No_Remorse_(Mot%C3%B6rhead_album),85:51:00,85,51,5151,Mercury,Thrash Metal,5,24,AllMusic,124,188,76,94,100,66,25,96,4,16,49,10,Please Don't Touch - Performed by HeadGirl,No Class,Motorhead - Live Single Version,Metropolis,Louie Louie,Motorhead - Live Single Version,Killed by Death,Leaving Here - Live
8,Megadeth,Peace Sells…But Who's Buying?,1986,https://open.spotify.com/album/4PqSk2iBHnsYQK0ecXjS9k,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/megadeth-peace-sells-but-whos-buying-1986-w487035,https://en.wikipedia.org/wiki/Countdown_to_Extinction,36:15:00,36,15,2175,Capitol,Thrash Metal,2.5,8,Rolling Stone,149,177,108,97,99,93,22,38,9,35,56,28,Good Mourning / Black Friday,I Ain't Superstitious,Wake Up Dead,Peace Sells,Peace Sells,Wake Up Dead,Peace Sells,I Ain't Superstitious
9,Ozzy Osbourne,Blizzard of Ozz,1980,https://open.spotify.com/album/6aGfK3YpRxZ1rJfaNRckLH,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/ozzy-osbourne-blizzard-of-ozz-1980-w487078,https://en.wikipedia.org/wiki/Blizzard_of_Ozz,39:31:00,39,31,2371,Jet,Heavy Metal,4,9,Rolling Stone,122,177,68,76,98,7,42,61,15,44,71,35,Steal Away (The Night),Dee,No Bone Movies,Dee,No Bone Movies,Revelation (Mother Earth),Crazy Train,Dee
10,Pantera,Vulgar Display of Power,1992,https://open.spotify.com/album/7kW0cpKgSVsEqcc8xgbSb0,http://www.rollingstone.com/music/lists/the-100-greatest-metal-albums-of-all-time-w486923/pantera-vulgar-display-of-power-1992-w487102,https://en.wikipedia.org/wiki/Vulgar_Display_of_Power,52:53:00,52,53,3173,Atco,Groove Metal,4,11,Rolling Stone,118,157,93,85,96,69,42,68,25,51,69,43,Mouth For War,Rise,Fucking Hostile,Hollow,Walk,Regular People (Conceit),Walk,No Good (Attack The Radical)
